Date,Country_JP,Country,Visitors,YoY_Change
2003/03,無国籍・その他,Stateless/Other,89,-51.63
2003/03,スウェーデン,Sweden,1629,-12.18
2003/03,スイス,Switzerland,1616,2.41
2003/03,台湾,Taiwan,46418,-42.07
2003/03,タイ,Thailand,7836,-31.93
2003/03,総数,Total,354054,-23.09
2003/03,トルコ,Turkey,407,10.6
2003/03,英国,UK,17783,-5.94
2003/03,米国,USA,45911,-30.32
2003/03,ベトナム,Vietnam,1483,27.19
2003/04,アフリカ計,Africa Total,1403,-35.91
2003/04,アジア計,Asia Total,169194,-38.64
2003/04,豪州,Australia,12420,-8.64
2003/04,オーストリア,Austria,729,-13.83
2003/04,ベルギー,Belgium,782,-26.37
2003/04,ブラジル,Brazil,644,-44.29
2003/04,カナダ,Canada,7499,-27.87
2003/04,中国,China,11280,-69.87
2003/04,デンマーク,Denmark,846,-12.15
2003/04,ヨーロッパ計,Europe Total,46446,-24.85
2003/04,フィンランド,Finland,785,-6.21
2003/04,フランス,France,5762,-15.98
2003/04,ドイツ,Germany,7005,-13.73
2003/04,香港,Hong Kong,11195,-44.03
2003/04,インド,India,4164,-8.14
2003/04,インドネシア,Indonesia,4989,19.5
2003/04,アイルランド,Ireland,722,-86.2
2003/04,イスラエル,Israel,697,-16.73
2003/04,イタリア,Italy,2202,-38.82
2003/04,マレーシア,Malaysia,3685,-33.82
2003/04,メキシコ,Mexico,442,-82.95
2003/04,オランダ,Netherlands,1980,6.51
2003/04,ニュージーランド,New Zealand,2462,-1.08
2003/04,北アメリカ計,North America Total,54635,-30.48
2003/04,ノルウェー,Norway,654,24.81
2003/04,オセアニア計,Oceania Total,15185,-7.16
2003/04,フィリピン,Philippines,10988,-8.78
2003/04,ポーランド,Poland,483,13.38
2003/04,ポルトガル,Portugal,252,-32.8
2003/04,ロシア,Russia,3675,21.89
2003/04,シンガポール,Singapore,2845,-57.42
2003/04,南アメリカ計,South America Total,1634,-55.9
2003/04,韓国,South Korea,92072,-6.14
2003/04,スペイン,Spain,944,-17.84
2003/04,無国籍・その他,Stateless/Other,65,-59.88
2003/04,スウェーデン,Sweden,1356,-39.11
2003/04,スイス,Switzerland,1222,-4.01
2003/04,台湾,Taiwan,16983,-77.21
2003/04,タイ,Thailand,5342,-10.88
2003/04,総数,Total,288562,-34.2
2003/04,トルコ,Turkey,470,8.8
2003/04,英国,UK,14198,-30.03
2003/04,米国,USA,46380,-28.64
2003/04,ベトナム,Vietnam,928,-17.95
2003/05,アフリカ計,Africa Total,1435,-45.56
2003/05,アジア計,Asia Total,217210,-13.38
2003/05,豪州,Australia,14467,5.69
2003/05,オーストリア,Austria,695,-13.02
2003/05,ベルギー,Belgium,787,-56.92
2003/05,ブラジル,Brazil,896,-62.46
2003/05,カナダ,Canada,8632,-11.28
2003/05,中国,China,12915,-48.98
2003/05,デンマーク,Denmark,718,-37.67
2003/05,ヨーロッパ計,Europe Total,45227,-36.85
2003/05,フィンランド,Finland,698,-7.79
2003/05,フランス,France,5775,-26.53
2003/05,ドイツ,Germany,5956,-36.82
2003/05,香港,Hong Kong,22778,8.26
2003/05,インド,India,4282,13.19
2003/05,インドネシア,Indonesia,7080,40.9
2003/05,アイルランド,Ireland,771,-76.27
2003/05,イスラエル,Israel,873,-14.91
2003/05,イタリア,Italy,2500,-36.55
2003/05,マレーシア,Malaysia,4069,-6.99
2003/05,メキシコ,Mexico,714,-92.1
2003/05,オランダ,Netherlands,1803,-7.35
2003/05,ニュージーランド,New Zealand,2301,-7.63
2003/05,北アメリカ計,North America Total,69356,-25.32
2003/05,ノルウェー,Norway,614,11.84
2003/05,オセアニア計,Oceania Total,17216,3.95
2003/05,フィリピン,Philippines,10103,-4.1
2003/05,ポーランド,Poland,341,-43.45
2003/05,ポルトガル,Portugal,1149,-7.26
2003/05,ロシア,Russia,3804,-5.89
2003/05,シンガポール,Singapore,6897,8.05
2003/05,南アメリカ計,South America Total,1863,-71.41
2003/05,韓国,South Korea,109379,22.5
2003/05,スペイン,Spain,881,-41.11
2003/05,無国籍・その他,Stateless/Other,124,-17.88
2003/05,スウェーデン,Sweden,1341,-48.36
2003/05,スイス,Switzerland,1106,-29.82
2003/05,台湾,Taiwan,28174,-61.15
2003/05,タイ,Thailand,4877,9.23
2003/05,総数,Total,352431,-20.11
2003/05,トルコ,Turkey,572,-62.27
2003/05,英国,UK,13361,-46.02
2003/05,米国,USA,59716,-17.89
2003/05,ベトナム,Vietnam,1207,2.37
2003/06,アフリカ計,Africa Total,1580,-2.23
2003/06,アジア計,Asia Total,358539,2.92
2003/06,豪州,Australia,18013,17.38
2003/06,オーストリア,Austria,855,-8.65
2003/06,ベルギー,Belgium,997,-5.59
2003/06,ブラジル,Brazil,1017,-34.72
2003/06,カナダ,Canada,11919,-6.28
2003/06,中国,China,28767,-26.33
2003/06,デンマーク,Denmark,831,-6.21
2003/06,ヨーロッパ計,Europe Total,57403,-0.32
2003/06,フィンランド,Finland,720,0.14
2003/06,フランス,France,7384,-7.76
2003/06,ドイツ,Germany,7366,-6.69
2003/06,香港,Hong Kong,31414,-5.06
2003/06,インド,India,4159,-5.02
2003/06,インドネシア,Indonesia,6617,17.34
2003/06,アイルランド,Ireland,942,4.43
2003/06,イスラエル,Israel,857,-16.55
2003/06,イタリア,Italy,2719,-12.6
2003/06,マレーシア,Malaysia,4631,3.05
2003/06,メキシコ,Mexico,1175,-39.28
2003/06,オランダ,Netherlands,2273,16.44
2003/06,ニュージーランド,New Zealand,2741,-15.11
2003/06,北アメリカ計,North America Total,74846,-13.29
2003/06,ノルウェー,Norway,557,3.92
2003/06,オセアニア計,Oceania Total,21054,11.09
2003/06,フィリピン,Philippines,13070,-1.33
2003/06,ポーランド,Poland,503,39.34
2003/06,ポルトガル,Portugal,1199,2.65
2003/06,ロシア,Russia,4895,18.61
2003/06,シンガポール,Singapore,5433,22.48
2003/06,南アメリカ計,South America Total,2128,-29.11
2003/06,韓国,South Korea,161273,24.8
2003/06,スペイン,Spain,1241,-7.73
2003/06,無国籍・その他,Stateless/Other,142,-11.8
2003/06,スウェーデン,Sweden,1080,-19.04
2003/06,スイス,Switzerland,1603,2.49
2003/06,台湾,Taiwan,89972,-11.8
2003/06,タイ,Thailand,5767,1.76
2003/06,総数,Total,515692,-0.06
2003/06,トルコ,Turkey,487,-28.8
2003/06,英国,UK,18779,2.96
2003/06,米国,USA,61258,-13.83
2003/06,ベトナム,Vietnam,1565,31.73
2003/07,アフリカ計,Africa Total,1580,-7.22
2003/07,アジア計,Asia Total,403434,18.66
2003/07,豪州,Australia,14944,14.43
2003/07,オーストリア,Austria,706,8.78
2003/07,ベルギー,Belgium,800,22.51
2003/07,ブラジル,Brazil,975,-17.65
2003/07,カナダ,Canada,12661,5.53
2003/07,中国,China,46765,6.22
2003/07,デンマーク,Denmark,738,9.82
2003/07,ヨーロッパ計,Europe Total,55489,6.17
2003/07,フィンランド,Finland,794,8.77
2003/07,フランス,France,7055,4.78
2003/07,ドイツ,Germany,7002,8.06
2003/07,香港,Hong Kong,33447,24.3
2003/07,インド,India,4603,24.41
2003/07,インドネシア,Indonesia,4812,17.54
2003/07,アイルランド,Ireland,871,0.35
2003/07,イスラエル,Israel,785,-21.5
2003/07,イタリア,Italy,3137,19.96
2003/07,マレーシア,Malaysia,4883,24.88
2003/07,メキシコ,Mexico,910,-26.73
2003/07,オランダ,Netherlands,2093,24.44
2003/07,ニュージーランド,New Zealand,2739,-1.55
2003/07,北アメリカ計,North America Total,69798,-3.37
2003/07,ノルウェー,Norway,505,3.06
2003/07,オセアニア計,Oceania Total,17964,11.74
2003/07,フィリピン,Philippines,11878,6.1
2003/07,ポーランド,Poland,383,-13.35
2003/07,ポルトガル,Portugal,1998,-7.03
2003/07,ロシア,Russia,3595,5.98
2003/07,シンガポール,Singapore,4752,26.25
2003/07,南アメリカ計,South America Total,1961,-17.47
2003/07,韓国,South Korea,184536,25.75
2003/07,スペイン,Spain,1667,11.65
2003/07,無国籍・その他,Stateless/Other,154,19.38
2003/07,スウェーデン,Sweden,1089,-12.32
2003/07,スイス,Switzerland,1209,0.33
2003/07,台湾,Taiwan,94087,12.14
2003/07,タイ,Thailand,5822,27.48
2003/07,総数,Total,550380,13.53
2003/07,トルコ,Turkey,490,8.65
2003/07,英国,UK,18932,8.3
2003/07,米国,USA,55789,-4.54
2003/07,ベトナム,Vietnam,1544,33.1
2003/08,アフリカ計,Africa Total,2801,75.72
2003/08,アジア計,Asia Total,309704,19.51
2003/08,豪州,Australia,18008,4.57
2003/08,オーストリア,Austria,848,-2.75
2003/08,ベルギー,Belgium,1027,21.83
2003/08,ブラジル,Brazil,1022,-1.16
2003/08,カナダ,Canada,9797,11.35
2003/08,中国,China,47303,5.7
2003/08,デンマーク,Denmark,964,9.55
2003/08,ヨーロッパ計,Europe Total,55581,5.95
2003/08,フィンランド,Finland,1108,43.71
2003/08,フランス,France,7133,3.42
2003/08,ドイツ,Germany,8312,1.35
2003/08,香港,Hong Kong,21047,12.77
2003/08,インド,India,4041,2.9
2003/08,インドネシア,Indonesia,5378,22.51
2003/08,アイルランド,Ireland,884,-3.49
2003/08,イスラエル,Israel,976,10.66
2003/08,イタリア,Italy,3019,7.94
2003/08,マレーシア,Malaysia,6636,15.05
2003/08,メキシコ,Mexico,1103,-12.39
2003/08,オランダ,Netherlands,2299,8.04
2003/08,ニュージーランド,New Zealand,3532,4.47
2003/08,北アメリカ計,North America Total,65303,0.54
2003/08,ノルウェー,Norway,671,21.34
2003/08,オセアニア計,Oceania Total,21843,4.57
2003/08,フィリピン,Philippines,12074,8.82
2003/08,ポーランド,Poland,609,29.03
2003/08,ポルトガル,Portugal,633,4.11
2003/08,ロシア,Russia,3929,6.53
2003/08,シンガポール,Singapore,7396,53.48
2003/08,南アメリカ計,South America Total,2200,-1.52
2003/08,韓国,South Korea,108468,20.92
2003/08,スペイン,Spain,1570,16.56
2003/08,無国籍・その他,Stateless/Other,142,0.0
2003/08,スウェーデン,Sweden,1530,7.9
2003/08,スイス,Switzerland,1626,2.78
2003/08,台湾,Taiwan,81083,28.93
2003/08,タイ,Thailand,7115,35.83
2003/08,総数,Total,457574,13.99
2003/08,トルコ,Turkey,894,122.39
2003/08,英国,UK,15299,1.2
2003/08,米国,USA,53957,-0.68
2003/08,ベトナム,Vietnam,1956,46.19
2003/09,アフリカ計,Africa Total,1716,-14.2
2003/09,アジア計,Asia Total,354353,17.79
2003/09,豪州,Australia,14266,1.16
2003/09,オーストリア,Austria,1194,-6.13
2003/09,ベルギー,Belgium,1310,11.11
2003/09,ブラジル,Brazil,1432,14.56
2003/09,カナダ,Canada,11528,0.7
2003/09,中国,China,51007,15.61
2003/09,デンマーク,Denmark,1261,-6.25
2003/09,ヨーロッパ計,Europe Total,71164,6.68
2003/09,フィンランド,Finland,1326,29.75
2003/09,フランス,France,8964,6.93
2003/09,ドイツ,Germany,11663,19.61
2003/09,香港,Hong Kong,18525,-4.07
2003/09,インド,India,4221,-0.42
2003/09,インドネシア,Indonesia,5546,24.91
2003/09,アイルランド,Ireland,1075,9.69
2003/09,イスラエル,Israel,1186,2.07
2003/09,イタリア,Italy,4420,2.67
2003/09,マレーシア,Malaysia,7217,22.68
2003/09,メキシコ,Mexico,1493,10.59
2003/09,オランダ,Netherlands,2979,4.75
2003/09,ニュージーランド,New Zealand,2692,-0.3
2003/09,北アメリカ計,North America Total,80223,-2.37
2003/09,ノルウェー,Norway,818,19.42
2003/09,オセアニア計,Oceania Total,17245,0.64
2003/09,フィリピン,Philippines,12840,22.72
2003/09,ポーランド,Poland,767,54.02
2003/09,ポルトガル,Portugal,698,0.29
2003/09,ロシア,Russia,4678,37.14
2003/09,シンガポール,Singapore,8036,32.85
2003/09,南アメリカ計,South America Total,3015,7.91
2003/09,韓国,South Korea,127367,19.76
2003/09,スペイン,Spain,1979,8.44
2003/09,無国籍・その他,Stateless/Other,143,-14.88
2003/09,スウェーデン,Sweden,2387,3.07
2003/09,スイス,Switzerland,2167,4.94
2003/09,台湾,Taiwan,97833,19.68
2003/09,タイ,Thailand,12642,35.25
2003/09,総数,Total,527859,11.88
2003/09,トルコ,Turkey,673,16.44
2003/09,英国,UK,19289,-2.88
2003/09,米国,USA,66512,-3.23
2003/09,ベトナム,Vietnam,1757,7.86
2003/10,アフリカ計,Africa Total,1505,14.19
2003/10,アジア計,Asia Total,297603,12.24
2003/10,豪州,Australia,12120,6.48
2003/10,オーストリア,Austria,972,4.97
2003/10,ベルギー,Belgium,1062,15.69
2003/10,ブラジル,Brazil,915,3.51
2003/10,カナダ,Canada,10368,2.28
2003/10,中国,China,42929,29.3
