Date,Country_JP,Country,Visitors,YoY_Change
2009/10,カナダ,Canada,12375,-2.96
2009/10,中国,China,81462,11.39
2009/10,デンマーク,Denmark,1084,-21.39
2009/10,ヨーロッパ計,Europe Total,66104,-8.42
2009/10,フィンランド,Finland,1118,-17.55
2009/10,フランス,France,10219,-8.87
2009/10,ドイツ,Germany,10446,-8.85
2009/10,香港,Hong Kong,32125,-10.23
2009/10,インド,India,5133,-8.94
2009/10,インドネシア,Indonesia,5484,24.95
2009/10,アイルランド,Ireland,862,0.12
2009/10,イスラエル,Israel,979,-4.77
2009/10,イタリア,Italy,4261,-7.37
2009/10,マレーシア,Malaysia,9718,4.6
2009/10,メキシコ,Mexico,1679,-7.29
2009/10,オランダ,Netherlands,2787,-1.62
2009/10,ニュージーランド,New Zealand,2419,12.15
2009/10,北アメリカ計,North America Total,72422,1.87
2009/10,ノルウェー,Norway,803,2.16
2009/10,オセアニア計,Oceania Total,19917,18.78
2009/10,フィリピン,Philippines,5551,-5.68
2009/10,ポーランド,Poland,759,-10.18
2009/10,ポルトガル,Portugal,619,-24.24
2009/10,ロシア,Russia,4469,-23.45
2009/10,シンガポール,Singapore,19871,8.24
2009/10,南アメリカ計,South America Total,3300,-2.83
2009/10,韓国,South Korea,130371,10.94
2009/10,スペイン,Spain,2827,-12.64
2009/10,無国籍・その他,Stateless/Other,42,-25.0
2009/10,スウェーデン,Sweden,2384,-4.75
2009/10,スイス,Switzerland,1829,-6.16
2009/10,台湾,Taiwan,85335,-8.77
2009/10,タイ,Thailand,14298,17.35
2009/10,総数,Total,565089,2.1
2009/10,トルコ,Turkey,649,-18.67
2009/10,英国,UK,15264,-3.98
2009/10,米国,USA,57866,3.25
2009/10,ベトナム,Vietnam,3330,23.65
2009/11,アフリカ計,Africa Total,1524,-1.87
2009/11,アジア計,Asia Total,467392,31.87
2009/11,豪州,Australia,24243,9.63
2009/11,オーストリア,Austria,864,-0.69
2009/11,ベルギー,Belgium,920,6.6
2009/11,ブラジル,Brazil,1244,-15.14
2009/11,カナダ,Canada,13342,-8.28
2009/11,中国,China,62527,16.66
2009/11,デンマーク,Denmark,784,5.95
2009/11,ヨーロッパ計,Europe Total,57320,-0.54
2009/11,フィンランド,Finland,1294,-21.39
2009/11,フランス,France,9905,6.98
2009/11,ドイツ,Germany,6835,-1.07
2009/11,香港,Hong Kong,50752,19.47
2009/11,インド,India,4195,6.18
2009/11,インドネシア,Indonesia,9902,60.41
2009/11,アイルランド,Ireland,816,-5.66
2009/11,イスラエル,Israel,584,11.88
2009/11,イタリア,Italy,4827,13.47
2009/11,マレーシア,Malaysia,14781,12.61
2009/11,メキシコ,Mexico,1657,11.88
2009/11,オランダ,Netherlands,2447,2.82
2009/11,ニュージーランド,New Zealand,2996,-3.67
2009/11,北アメリカ計,North America Total,70940,-0.44
2009/11,ノルウェー,Norway,727,9.49
2009/11,オセアニア計,Oceania Total,27384,7.55
2009/11,フィリピン,Philippines,5865,0.34
2009/11,ポーランド,Poland,536,-1.11
2009/11,ポルトガル,Portugal,911,8.58
2009/11,ロシア,Russia,3667,-17.24
2009/11,シンガポール,Singapore,34924,23.81
2009/11,南アメリカ計,South America Total,2260,-22.68
2009/11,韓国,South Korea,178027,64.84
2009/11,スペイン,Spain,2964,23.6
2009/11,無国籍・その他,Stateless/Other,76,-19.15
2009/11,スウェーデン,Sweden,1913,-7.27
2009/11,スイス,Switzerland,1479,1.3
2009/11,台湾,Taiwan,78631,10.8
2009/11,タイ,Thailand,16686,39.41
2009/11,総数,Total,626896,22.12
2009/11,トルコ,Turkey,481,-23.89
2009/11,英国,UK,13767,-7.2
2009/11,米国,USA,55608,1.22
2009/11,ベトナム,Vietnam,2488,0.85
2010/01,アフリカ計,Africa Total,1599,35.16
2010/01,アジア計,Asia Total,528289,81.68
2010/01,豪州,Australia,20631,20.64
2010/01,オーストリア,Austria,938,5.16
2010/01,ベルギー,Belgium,892,9.31
2010/01,ブラジル,Brazil,892,10.67
2010/01,カナダ,Canada,11484,29.79
2010/01,中国,China,121494,92.91
2010/01,デンマーク,Denmark,1091,14.96
2010/01,ヨーロッパ計,Europe Total,53585,14.07
2010/01,フィンランド,Finland,1090,-21.53
2010/01,フランス,France,8700,14.38
2010/01,ドイツ,Germany,7293,-6.34
2010/01,香港,Hong Kong,52235,136.19
2010/01,インド,India,3999,1.47
2010/01,インドネシア,Indonesia,3363,34.74
2010/01,アイルランド,Ireland,683,-0.58
2010/01,イスラエル,Israel,611,3.56
2010/01,イタリア,Italy,3332,30.87
2010/01,マレーシア,Malaysia,7943,80.93
2010/01,メキシコ,Mexico,1001,28.5
2010/01,オランダ,Netherlands,2134,9.21
2010/01,ニュージーランド,New Zealand,2092,13.33
2010/01,北アメリカ計,North America Total,56502,15.79
2010/01,ノルウェー,Norway,641,-19.37
2010/01,オセアニア計,Oceania Total,22917,19.85
2010/01,フィリピン,Philippines,4505,11.04
2010/01,ポーランド,Poland,457,15.99
2010/01,ポルトガル,Portugal,754,84.8
2010/01,ロシア,Russia,2450,-8.82
2010/01,シンガポール,Singapore,10791,113.47
2010/01,南アメリカ計,South America Total,2009,15.79
2010/01,韓国,South Korea,197784,84.97
2010/01,スペイン,Spain,1942,11.8
2010/01,無国籍・その他,Stateless/Other,81,138.24
2010/01,スウェーデン,Sweden,1848,14.71
2010/01,スイス,Switzerland,1335,1.6
2010/01,台湾,Taiwan,105416,77.92
2010/01,タイ,Thailand,9944,-5.86
2010/01,総数,Total,664982,62.74
2010/01,トルコ,Turkey,531,-2.93
2010/01,英国,UK,15630,38.26
2010/01,米国,USA,43645,12.38
2010/01,ベトナム,Vietnam,2652,5.41
2010/02,アフリカ計,Africa Total,1751,8.76
2010/02,アジア計,Asia Total,508114,31.59
2010/02,豪州,Australia,20473,13.14
2010/02,オーストリア,Austria,1395,2.27
2010/02,ベルギー,Belgium,1401,2.41
2010/02,ブラジル,Brazil,1841,30.47
2010/02,カナダ,Canada,15125,4.71
2010/02,中国,China,123314,22.15
2010/02,デンマーク,Denmark,1742,25.78
2010/02,ヨーロッパ計,Europe Total,84323,10.95
2010/02,フィンランド,Finland,1942,-5.77
2010/02,フランス,France,13265,8.79
2010/02,ドイツ,Germany,14141,19.02
2010/02,香港,Hong Kong,36366,19.16
2010/02,インド,India,5310,14.61
2010/02,インドネシア,Indonesia,6381,44.4
2010/02,アイルランド,Ireland,1076,14.96
2010/02,イスラエル,Israel,1993,54.02
2010/02,イタリア,Italy,6235,38.68
2010/02,マレーシア,Malaysia,12130,34.88
2010/02,メキシコ,Mexico,1906,51.99
2010/02,オランダ,Netherlands,3064,5.73
2010/02,ニュージーランド,New Zealand,2445,-6.14
2010/02,北アメリカ計,North America Total,89040,9.79
2010/02,ノルウェー,Norway,1467,12.59
2010/02,オセアニア計,Oceania Total,23142,10.23
2010/02,フィリピン,Philippines,7907,24.62
2010/02,ポーランド,Poland,928,28.89
2010/02,ポルトガル,Portugal,843,26.96
2010/02,ロシア,Russia,4478,15.09
2010/02,シンガポール,Singapore,13469,40.93
2010/02,南アメリカ計,South America Total,3261,21.68
2010/02,韓国,South Korea,169295,56.25
2010/02,スペイン,Spain,4338,26.44
2010/02,無国籍・その他,Stateless/Other,53,-13.11
2010/02,スウェーデン,Sweden,3384,12.84
2010/02,スイス,Switzerland,2667,21.5
2010/02,台湾,Taiwan,89524,18.75
2010/02,タイ,Thailand,28340,17.96
2010/02,総数,Total,709684,24.82
2010/02,トルコ,Turkey,886,23.23
2010/02,英国,UK,17809,-5.46
2010/02,米国,USA,71553,10.22
2010/02,ベトナム,Vietnam,4606,27.55
2010/03,アフリカ計,Africa Total,1718,-8.86
2010/03,アジア計,Asia Total,595499,35.87
2010/03,豪州,Australia,18383,15.41
2010/03,オーストリア,Austria,1196,-1.89
2010/03,ベルギー,Belgium,1758,12.48
2010/03,ブラジル,Brazil,2317,48.05
2010/03,カナダ,Canada,15332,4.88
2010/03,中国,China,150788,41.17
2010/03,デンマーク,Denmark,1070,-13.22
2010/03,ヨーロッパ計,Europe Total,81550,-4.23
2010/03,フィンランド,Finland,1526,-12.5
2010/03,フランス,France,17451,-2.61
2010/03,ドイツ,Germany,10196,-7.7
2010/03,香港,Hong Kong,46598,3.62
2010/03,インド,India,5557,16.65
2010/03,インドネシア,Indonesia,6774,45.8
2010/03,アイルランド,Ireland,864,-8.67
2010/03,イスラエル,Israel,2225,26.21
2010/03,イタリア,Italy,5536,-8.75
2010/03,マレーシア,Malaysia,11482,25.34
2010/03,メキシコ,Mexico,1437,-21.99
2010/03,オランダ,Netherlands,2934,-6.98
2010/03,ニュージーランド,New Zealand,2746,-1.36
2010/03,北アメリカ計,North America Total,84148,6.85
2010/03,ノルウェー,Norway,741,-15.6
2010/03,オセアニア計,Oceania Total,21342,12.78
2010/03,フィリピン,Philippines,8575,-7.56
2010/03,ポーランド,Poland,1193,30.53
2010/03,ポルトガル,Portugal,865,1.76
2010/03,ロシア,Russia,5021,40.33
2010/03,シンガポール,Singapore,13817,15.49
2010/03,南アメリカ計,South America Total,3889,20.96
2010/03,韓国,South Korea,189582,67.31
2010/03,スペイン,Spain,2706,-33.4
2010/03,無国籍・その他,Stateless/Other,66,-24.14
2010/03,スウェーデン,Sweden,2998,14.12
2010/03,スイス,Switzerland,2903,3.94
2010/03,台湾,Taiwan,109680,20.17
2010/03,タイ,Thailand,36817,26.74
2010/03,総数,Total,788212,25.85
2010/03,トルコ,Turkey,871,29.42
2010/03,英国,UK,18419,-8.83
2010/03,米国,USA,66879,8.38
2010/03,ベトナム,Vietnam,4000,30.76
2010/04,アフリカ計,Africa Total,1769,17.93
2010/04,アジア計,Asia Total,545016,64.47
2010/04,豪州,Australia,14621,21.89
2010/04,オーストリア,Austria,1324,21.25
2010/04,ベルギー,Belgium,1341,16.2
2010/04,ブラジル,Brazil,1604,19.43
2010/04,カナダ,Canada,14394,18.14
2010/04,中国,China,112558,85.95
2010/04,デンマーク,Denmark,1183,17.59
2010/04,ヨーロッパ計,Europe Total,71791,12.4
2010/04,フィンランド,Finland,1347,-8.43
2010/04,フランス,France,13699,5.05
2010/04,ドイツ,Germany,10944,20.58
2010/04,香港,Hong Kong,40864,47.16
2010/04,インド,India,7942,41.37
2010/04,インドネシア,Indonesia,5109,45.8
2010/04,アイルランド,Ireland,873,20.91
2010/04,イスラエル,Israel,884,-2.64
2010/04,イタリア,Italy,5138,6.86
2010/04,マレーシア,Malaysia,10252,84.29
2010/04,メキシコ,Mexico,1686,187.71
2010/04,オランダ,Netherlands,3013,26.28
2010/04,ニュージーランド,New Zealand,2457,19.1
2010/04,北アメリカ計,North America Total,82085,14.42
2010/04,ノルウェー,Norway,651,-14.68
2010/04,オセアニア計,Oceania Total,17312,20.7
2010/04,フィリピン,Philippines,8546,26.74
2010/04,ポーランド,Poland,924,23.53
2010/04,ポルトガル,Portugal,711,16.56
2010/04,ロシア,Russia,4238,15.6
2010/04,シンガポール,Singapore,15041,61.06
2010/04,南アメリカ計,South America Total,3326,16.95
2010/04,韓国,South Korea,201484,70.9
2010/04,スペイン,Spain,3166,20.38
2010/04,無国籍・その他,Stateless/Other,49,48.48
2010/04,スウェーデン,Sweden,2437,22.83
2010/04,スイス,Switzerland,2207,16.96
2010/04,台湾,Taiwan,114168,62.41
2010/04,タイ,Thailand,17014,21.13
2010/04,総数,Total,721348,48.51
2010/04,トルコ,Turkey,702,-21.03
2010/04,英国,UK,14969,12.67
2010/04,米国,USA,65559,11.88
2010/04,ベトナム,Vietnam,3086,28.48
2010/05,アフリカ計,Africa Total,1536,-8.57
2010/05,アジア計,Asia Total,511592,88.62
2010/05,豪州,Australia,16171,26.55
2010/05,オーストリア,Austria,954,5.88
2010/05,ベルギー,Belgium,1028,-0.77
2010/05,ブラジル,Brazil,1615,36.63
2010/05,カナダ,Canada,10378,-1.38
2010/05,中国,China,103706,183.37
2010/05,デンマーク,Denmark,1145,21.55
2010/05,ヨーロッパ計,Europe Total,57982,6.96
2010/05,フィンランド,Finland,1582,-5.95
2010/05,フランス,France,9686,6.4
2010/05,ドイツ,Germany,8550,13.56
2010/05,香港,Hong Kong,47490,81.27
2010/05,インド,India,5813,30.48
2010/05,インドネシア,Indonesia,7941,51.84
2010/05,アイルランド,Ireland,857,2.76
2010/05,イスラエル,Israel,723,-5.86
2010/05,イタリア,Italy,3955,-5.77
2010/05,マレーシア,Malaysia,8295,80.17
2010/05,メキシコ,Mexico,1585,83.87
2010/05,オランダ,Netherlands,2136,5.95
2010/05,ニュージーランド,New Zealand,2392,4.23
2010/05,北アメリカ計,North America Total,84143,5.83
2010/05,ノルウェー,Norway,835,4.9
2010/05,オセアニア計,Oceania Total,18838,22.11
2010/05,フィリピン,Philippines,5394,11.86
2010/05,ポーランド,Poland,570,-2.9
2010/05,ポルトガル,Portugal,845,49.56
2010/05,ロシア,Russia,3750,-1.32
2010/05,シンガポール,Singapore,17644,101.25
2010/05,南アメリカ計,South America Total,2933,25.23
2010/05,韓国,South Korea,179088,71.81
2010/05,スペイン,Spain,2997,17.44
2010/05,無国籍・その他,Stateless/Other,40,21.21
2010/05,スウェーデン,Sweden,2470,10.86
2010/05,スイス,Switzerland,1552,-4.43
2010/05,台湾,Taiwan,113900,86.28
2010/05,タイ,Thailand,9967,67.46
2010/05,総数,Total,677064,59.52
2010/05,トルコ,Turkey,712,17.88
2010/05,英国,UK,12071,6.11
2010/05,米国,USA,71781,5.93
2010/05,ベトナム,Vietnam,3485,56.63
2010/06,アフリカ計,Africa Total,1871,2.02
2010/06,アジア計,Asia Total,687666,52.83
2010/06,豪州,Australia,15563,2.31
2010/06,オーストリア,Austria,1312,4.04
2010/06,ベルギー,Belgium,1646,24.32
2010/06,ブラジル,Brazil,2262,43.8
2010/06,カナダ,Canada,14468,2.61
2010/06,中国,China,164944,142.76
2010/06,デンマーク,Denmark,1539,23.52
2010/06,ヨーロッパ計,Europe Total,81002,10.55
2010/06,フィンランド,Finland,1510,-10.44
2010/06,フランス,France,16202,17.58
2010/06,ドイツ,Germany,9844,13.76
2010/06,香港,Hong Kong,68846,40.64
2010/06,インド,India,5395,10.35
2010/06,インドネシア,Indonesia,6179,30.94
2010/06,アイルランド,Ireland,894,-8.87
2010/06,イスラエル,Israel,859,-12.53
2010/06,イタリア,Italy,5748,7.52
2010/06,マレーシア,Malaysia,7960,62.22
2010/06,メキシコ,Mexico,2140,23.99
2010/06,オランダ,Netherlands,3644,12.85
2010/06,ニュージーランド,New Zealand,3233,19.74
2010/06,北アメリカ計,North America Total,85183,-1.71
2010/06,ノルウェー,Norway,1019,26.9
2010/06,オセアニア計,Oceania Total,19137,5.36
2010/06,フィリピン,Philippines,5238,0.87
2010/06,ポーランド,Poland,984,18.13
2010/06,ポルトガル,Portugal,1114,63.1
2010/06,ロシア,Russia,4934,14.03
2010/06,シンガポール,Singapore,11556,68.97
2010/06,南アメリカ計,South America Total,3662,30.6
2010/06,韓国,South Korea,236092,38.68
2010/06,スペイン,Spain,5543,8.6
2010/06,無国籍・その他,Stateless/Other,61,45.24
2010/06,スウェーデン,Sweden,2104,14.04
2010/06,スイス,Switzerland,2860,23.28
2010/06,台湾,Taiwan,152925,32.13
2010/06,タイ,Thailand,14208,47.52
2010/06,総数,Total,878582,38.86
2010/06,トルコ,Turkey,842,25.11
2010/06,英国,UK,16233,0.36
2010/06,米国,USA,68051,-3.3
2010/06,ベトナム,Vietnam,3283,30.74
2010/07,アフリカ計,Africa Total,1847,-5.23
2010/07,アジア計,Asia Total,635354,24.48
2010/07,豪州,Australia,12858,-3.74
2010/07,オーストリア,Austria,1133,0.27
2010/07,ベルギー,Belgium,1187,16.03
2010/07,ブラジル,Brazil,1527,22.85
2010/07,カナダ,Canada,12291,-8.47
2010/07,中国,China,171503,57.32
2010/07,デンマーク,Denmark,866,10.18
2010/07,ヨーロッパ計,Europe Total,77244,2.55
2010/07,フィンランド,Finland,1042,-16.91
2010/07,フランス,France,14446,3.8
2010/07,ドイツ,Germany,9789,13.91
2010/07,香港,Hong Kong,51526,9.32
2010/07,インド,India,5401,4.09
2010/07,インドネシア,Indonesia,3720,-7.55
2010/07,アイルランド,Ireland,903,4.03
2010/07,イスラエル,Israel,914,12.56
2010/07,イタリア,Italy,8279,-14.5
2010/07,マレーシア,Malaysia,4996,0.38
2010/07,メキシコ,Mexico,1299,-2.77
2010/07,オランダ,Netherlands,2202,-6.06
2010/07,ニュージーランド,New Zealand,2538,14.22
2010/07,北アメリカ計,North America Total,69653,-5.07
2010/07,ノルウェー,Norway,654,9.55
2010/07,オセアニア計,Oceania Total,15610,-1.58
2010/07,フィリピン,Philippines,5517,-4.94
2010/07,ポーランド,Poland,1037,29.3
2010/07,ポルトガル,Portugal,1634,48.01
2010/07,ロシア,Russia,4375,8.24
2010/07,シンガポール,Singapore,7239,4.58
2010/07,南アメリカ計,South America Total,2963,13.7
2010/07,韓国,South Korea,246882,29.27
2010/07,スペイン,Spain,7368,2.56
2010/07,無国籍・その他,Stateless/Other,54,8.0
2010/07,スウェーデン,Sweden,1873,11.42
2010/07,スイス,Switzerland,1912,17.09
2010/07,台湾,Taiwan,113438,-1.14
2010/07,タイ,Thailand,9857,21.92
2010/07,総数,Total,802725,18.12
2010/07,トルコ,Turkey,875,34.0
2010/07,英国,UK,14880,-0.42
2010/07,米国,USA,55449,-4.47
2010/07,ベトナム,Vietnam,3421,19.03
2010/08,アフリカ計,Africa Total,2300,30.16
2010/08,アジア計,Asia Total,540644,43.05
2010/08,豪州,Australia,23500,24.78
2010/08,オーストリア,Austria,1252,-19.43
2010/08,ベルギー,Belgium,1547,39.5
2010/08,ブラジル,Brazil,1922,25.62
2010/08,カナダ,Canada,11570,6.45
2010/08,中国,China,137333,39.15
2010/08,デンマーク,Denmark,1216,14.5
2010/08,ヨーロッパ計,Europe Total,73051,11.77
2010/08,フィンランド,Finland,1117,-3.29
2010/08,フランス,France,11475,12.95
2010/08,ドイツ,Germany,11534,18.96
2010/08,香港,Hong Kong,33767,3.4
2010/08,インド,India,5392,-2.0
2010/08,インドネシア,Indonesia,13681,28.61
2010/08,アイルランド,Ireland,982,31.81
2010/08,イスラエル,Israel,1856,43.21
2010/08,イタリア,Italy,5065,3.35
2010/08,マレーシア,Malaysia,9033,16.39
2010/08,メキシコ,Mexico,1738,8.29
2010/08,オランダ,Netherlands,2793,15.18
2010/08,ニュージーランド,New Zealand,3522,21.66
2010/08,北アメリカ計,North America Total,70564,8.1
2010/08,ノルウェー,Norway,858,15.17
2010/08,オセアニア計,Oceania Total,27317,24.43
2010/08,フィリピン,Philippines,6133,21.78
2010/08,ポーランド,Poland,1066,22.25
2010/08,ポルトガル,Portugal,805,20.15
2010/08,ロシア,Russia,3994,9.82
2010/08,シンガポール,Singapore,10929,17.06
2010/08,南アメリカ計,South America Total,3831,19.53
2010/08,韓国,South Korea,193975,83.91
2010/08,スペイン,Spain,4560,14.43
2010/08,無国籍・その他,Stateless/Other,49,-2.0
2010/08,スウェーデン,Sweden,2273,12.64
2010/08,スイス,Switzerland,2309,11.38
2010/08,台湾,Taiwan,102811,32.71
2010/08,タイ,Thailand,12777,7.7
2010/08,総数,Total,717756,34.02
2010/08,トルコ,Turkey,790,22.86
2010/08,英国,UK,15545,7.82
2010/08,米国,USA,56599,8.17
2010/08,ベトナム,Vietnam,3761,10.52
2010/09,アフリカ計,Africa Total,3090,40.84
2010/09,アジア計,Asia Total,523119,14.77
2010/09,豪州,Australia,16659,-16.32
2010/09,オーストリア,Austria,1860,30.25
2010/09,ベルギー,Belgium,1923,23.03
2010/09,ブラジル,Brazil,2564,15.97
2010/09,カナダ,Canada,13281,-8.43
2010/09,中国,China,106237,-1.91
2010/09,デンマーク,Denmark,1792,3.7
2010/09,ヨーロッパ計,Europe Total,94336,10.5
2010/09,フィンランド,Finland,1857,10.34
2010/09,フランス,France,16580,8.68
2010/09,ドイツ,Germany,15302,21.0
2010/09,香港,Hong Kong,30423,-23.6
2010/09,インド,India,6603,25.2
2010/09,インドネシア,Indonesia,7010,25.47
2010/09,アイルランド,Ireland,1037,-3.62
2010/09,イスラエル,Israel,1910,14.17
2010/09,イタリア,Italy,6638,15.16
2010/09,マレーシア,Malaysia,9233,9.15
2010/09,メキシコ,Mexico,2130,-0.79
2010/09,オランダ,Netherlands,3688,4.39
2010/09,ニュージーランド,New Zealand,2735,-25.21
2010/09,北アメリカ計,North America Total,82145,-1.99
2010/09,ノルウェー,Norway,1132,29.37
2010/09,オセアニア計,Oceania Total,19759,-17.0
2010/09,フィリピン,Philippines,6797,10.74
2010/09,ポーランド,Poland,1097,7.87
2010/09,ポルトガル,Portugal,851,7.59
2010/09,ロシア,Russia,5426,20.58
2010/09,シンガポール,Singapore,13459,-0.98
2010/09,南アメリカ計,South America Total,4764,7.86
2010/09,韓国,South Korea,193829,47.74
2010/09,スペイン,Spain,4581,-1.42
2010/09,無国籍・その他,Stateless/Other,65,8.33
2010/09,スウェーデン,Sweden,3467,6.12
2010/09,スイス,Switzerland,3360,21.34
2010/09,台湾,Taiwan,105678,7.84
2010/09,タイ,Thailand,27812,12.97
2010/09,総数,Total,727278,10.95
2010/09,トルコ,Turkey,1147,31.54
2010/09,英国,UK,18505,1.19
2010/09,米国,USA,65989,-0.88
2010/09,ベトナム,Vietnam,4226,24.4
2010/10,アフリカ計,Africa Total,2082,10.57
2010/10,アジア計,Asia Total,466752,16.27
2010/10,豪州,Australia,15173,-12.24
2010/10,オーストリア,Austria,1258,13.33
2010/10,ベルギー,Belgium,1486,19.07
2010/10,ブラジル,Brazil,1635,-5.22
2010/10,カナダ,Canada,11575,-6.46
2010/10,中国,China,68385,-16.05
2010/10,デンマーク,Denmark,1279,17.99
2010/10,ヨーロッパ計,Europe Total,72212,9.24
2010/10,フィンランド,Finland,1579,41.23
2010/10,フランス,France,11121,8.83
2010/10,ドイツ,Germany,12463,19.31
2010/10,香港,Hong Kong,27432,-14.61
2010/10,インド,India,5357,4.36
2010/10,インドネシア,Indonesia,5615,2.39
2010/10,アイルランド,Ireland,978,13.46
2010/10,イスラエル,Israel,978,-0.1
2010/10,イタリア,Italy,4702,10.35
2010/10,マレーシア,Malaysia,11055,13.76
2010/10,メキシコ,Mexico,1608,-4.23
2010/10,オランダ,Netherlands,3038,9.01
2010/10,ニュージーランド,New Zealand,2058,-14.92
2010/10,北アメリカ計,North America Total,72774,0.49
2010/10,ノルウェー,Norway,984,22.54
2010/10,オセアニア計,Oceania Total,17512,-12.08
2010/10,フィリピン,Philippines,5894,6.18
2010/10,ポーランド,Poland,1058,39.39
2010/10,ポルトガル,Portugal,646,4.36
2010/10,ロシア,Russia,4976,11.34
2010/10,シンガポール,Singapore,23611,18.82
2010/10,南アメリカ計,South America Total,3437,4.15
2010/10,韓国,South Korea,197244,51.29
2010/10,スペイン,Spain,2909,2.9
2010/10,無国籍・その他,Stateless/Other,49,16.67
2010/10,スウェーデン,Sweden,2604,9.23
2010/10,スイス,Switzerland,2063,12.79
2010/10,台湾,Taiwan,89412,4.78
2010/10,タイ,Thailand,18894,32.14
2010/10,総数,Total,634818,12.34
2010/10,トルコ,Turkey,1378,112.33
2010/10,英国,UK,15068,-1.28
2010/10,米国,USA,59083,2.1
2010/10,ベトナム,Vietnam,3772,13.27
2010/11,アフリカ計,Africa Total,1493,-2.03
2010/11,アジア計,Asia Total,493299,5.54
2010/11,豪州,Australia,24815,2.36
2010/11,オーストリア,Austria,932,7.87
2010/11,ベルギー,Belgium,877,-4.67
2010/11,ブラジル,Brazil,1837,47.67
2010/11,カナダ,Canada,12273,-8.01
2010/11,中国,China,60493,-3.25
2010/11,デンマーク,Denmark,777,-0.89
2010/11,ヨーロッパ計,Europe Total,54862,-4.29
2010/11,フィンランド,Finland,1175,-9.2
2010/11,フランス,France,10168,2.66
2010/11,ドイツ,Germany,7405,8.34
2010/11,香港,Hong Kong,42622,-16.02
2010/11,インド,India,4292,2.31
2010/11,インドネシア,Indonesia,11124,12.34
2010/11,アイルランド,Ireland,764,-6.37
2010/11,イスラエル,Israel,521,-10.79
2010/11,イタリア,Italy,4238,-12.2
2010/11,マレーシア,Malaysia,17451,18.06
2010/11,メキシコ,Mexico,1344,-18.89
2010/11,オランダ,Netherlands,2196,-10.26
2010/11,ニュージーランド,New Zealand,2901,-3.17
2010/11,北アメリカ計,North America Total,67964,-4.2
2010/11,ノルウェー,Norway,591,-18.71
2010/11,オセアニア計,Oceania Total,27890,1.85
2010/11,フィリピン,Philippines,6339,8.08
2010/11,ポーランド,Poland,474,-11.57
2010/11,ポルトガル,Portugal,721,-20.86
2010/11,ロシア,Russia,3696,0.79
2010/11,シンガポール,Singapore,36827,5.45
2010/11,南アメリカ計,South America Total,2819,24.73
2010/11,韓国,South Korea,202508,13.75
2010/11,スペイン,Spain,2199,-25.81
2010/11,無国籍・その他,Stateless/Other,53,-30.26
2010/11,スウェーデン,Sweden,1826,-4.55
2010/11,スイス,Switzerland,1520,2.77
2010/11,台湾,Taiwan,81477,3.62
2010/11,タイ,Thailand,19370,16.09
2010/11,総数,Total,648380,3.43
2010/11,トルコ,Turkey,578,20.17
2010/11,英国,UK,12655,-8.08
2010/11,米国,USA,54003,-2.89
2010/11,ベトナム,Vietnam,2833,13.87
2011/01,アフリカ計,Africa Total,1369,-14.38
2011/01,アジア計,Asia Total,539829,2.18
2011/01,豪州,Australia,21467,4.05
2011/01,オーストリア,Austria,903,-3.73
2011/01,ベルギー,Belgium,1021,14.46
2011/01,ブラジル,Brazil,1118,25.34
2011/01,カナダ,Canada,10326,-10.08
2011/01,中国,China,105362,-13.28
2011/01,デンマーク,Denmark,1142,4.67
2011/01,ヨーロッパ計,Europe Total,54859,2.39
2011/01,フィンランド,Finland,1077,-1.19
2011/01,フランス,France,8999,3.44
2011/01,ドイツ,Germany,8564,17.43
2011/01,香港,Hong Kong,49311,-5.6
2011/01,インド,India,4693,17.35
2011/01,インドネシア,Indonesia,4109,22.18
2011/01,アイルランド,Ireland,697,2.05
2011/01,イスラエル,Israel,489,-19.97
2011/01,イタリア,Italy,3450,3.54
2011/01,マレーシア,Malaysia,9133,14.98
2011/01,メキシコ,Mexico,1116,11.49
2011/01,オランダ,Netherlands,2152,0.84
2011/01,ニュージーランド,New Zealand,2288,9.37
2011/01,北アメリカ計,North America Total,56934,0.76
2011/01,ノルウェー,Norway,853,33.07
2011/01,オセアニア計,Oceania Total,23945,4.49
2011/01,フィリピン,Philippines,4643,3.06
2011/01,ポーランド,Poland,501,9.63
2011/01,ポルトガル,Portugal,594,-21.22
2011/01,ロシア,Russia,3259,33.0
2011/01,シンガポール,Singapore,12474,15.6
2011/01,南アメリカ計,South America Total,2394,19.16
2011/01,韓国,South Korea,231640,17.12
2011/01,スペイン,Spain,1768,-8.96
2011/01,無国籍・その他,Stateless/Other,63,-22.22
2011/01,スウェーデン,Sweden,1722,-6.82
2011/01,スイス,Switzerland,1428,6.97
2011/01,台湾,Taiwan,93446,-11.36
2011/01,タイ,Thailand,13597,36.74
2011/01,総数,Total,679393,2.17
2011/01,トルコ,Turkey,514,-3.2
2011/01,英国,UK,14119,-9.67
2011/01,米国,USA,45135,3.41
2011/01,ベトナム,Vietnam,3371,27.11
2011/02,アフリカ計,Africa Total,1089,-37.81
2011/02,アジア計,Asia Total,252422,-50.32
2011/02,豪州,Australia,10853,-46.99
2011/02,オーストリア,Austria,503,-63.94
2011/02,ベルギー,Belgium,651,-53.53
2011/02,ブラジル,Brazil,852,-53.72
2011/02,カナダ,Canada,7852,-48.09
2011/02,中国,China,62450,-49.36
2011/02,デンマーク,Denmark,708,-59.36
2011/02,ヨーロッパ計,Europe Total,36937,-56.2
2011/02,フィンランド,Finland,833,-57.11
2011/02,フランス,France,5798,-56.29
